# first run

===== PLAYER RANKINGS BY WINS =====
Rank | Player Name         | Wins  | Games | Win Rate
-----|--------------------:|------:|------:|--------:
   1 | Birdo                | 14120 |  5000 | 40.34%
   2 | Bowser               | 14070 |  5000 | 40.20%
   3 | Donkey Kong          | 13600 |  5000 | 38.86%
   4 | Wario                | 12172 |  5000 | 34.78%
   5 | King K. Rool         | 11964 |  5000 | 34.18%
   6 | Petey Piranha        | 11930 |  5000 | 34.09%
   7 | Daisy                | 11874 |  5000 | 33.93%
   8 | Mario                | 11621 |  5000 | 33.20%
   9 | Funky Kong           | 11536 |  5000 | 32.96%
  10 | Dark Dry Bones       | 10952 |  5000 | 31.29%
  11 | Luigi                | 10754 |  5000 | 30.73%
  12 | Blue Pianta          | 10671 |  5000 | 30.49%
  13 | Bowser Jr.           | 10327 |  5000 | 29.51%
  14 | Boomerang Bro        |  9818 |  5000 | 28.05%
  15 | Dry Bones            |  9818 |  5000 | 28.05%
  16 | King Boo             |  9760 |  5000 | 27.89%
  17 | Peach                |  9243 |  5000 | 26.41%
  18 | Tiny Kong            |  8996 |  5000 | 25.70%
  19 | Red Kritter          |  8949 |  5000 | 25.57%
  20 | Waluigi              |  8945 |  5000 | 25.56%
  21 | Yellow Pianta        |  8874 |  5000 | 25.35%
  22 | Red Pianta           |  8816 |  5000 | 25.19%
  23 | Fire Bro             |  8543 |  5000 | 24.41%
  24 | Kritter              |  8422 |  5000 | 24.06%
  25 | Brown Kritter        |  8384 |  5000 | 23.95%
  26 | Green Dry Bones      |  8168 |  5000 | 23.34%
  27 | Diddy Kong           |  8077 |  5000 | 23.08%
  28 | Wiggler              |  7929 |  5000 | 22.65%
  29 | Blue Dry Bones       |  7779 |  5000 | 22.23%
  30 | Blue Kritter         |  7581 |  5000 | 21.66%
  31 | Hammer Bro           |  7510 |  5000 | 21.46%
  32 | Baby Donkey Kong     |  6934 |  5000 | 19.81%
  33 | Red Koopa Troopa     |  6420 |  5000 | 18.34%
  34 | Purple Toad          |  6240 |  5000 | 17.83%
  35 | Mii                  |  6146 |  5000 | 17.56%
  36 | Yoshi                |  5959 |  5000 | 17.03%
  37 | Blue Toad            |  5912 |  5000 | 16.89%
  38 | Yellow Toad          |  5394 |  5000 | 15.41%
  39 | Blooper              |  5301 |  5000 | 15.15%
  40 | Baby Daisy           |  5203 |  5000 | 14.87%
  41 | Red Magikoopa        |  5156 |  5000 | 14.73%
  42 | Green Paratroopa     |  5124 |  5000 | 14.64%
  43 | Boo                  |  4923 |  5000 | 14.07%
  44 | Red Toad             |  4886 |  5000 | 13.96%
  45 | Green Koopa Troopa   |  4827 |  5000 | 13.79%
  46 | Green Shy Guy        |  4827 |  5000 | 13.79%
  47 | Green Noki           |  4787 |  5000 | 13.68%
  48 | Paragoomba           |  4754 |  5000 | 13.58%
  49 | Red Shy Guy          |  4717 |  5000 | 13.48%
  50 | Yellow Magikoopa     |  4555 |  5000 | 13.01%
  51 | Green Toad           |  4440 |  5000 | 12.69%
